ticket_subject,ticket_body,origin,status,priority,reporter_id,lat,lng
Sidewalk Obstruction by Outdoor Dining Setup on MacDougal Street (unique_key: 67084024),"I am writing to report that the sidewalk in front of 81 MacDougal Street in Manhattan is currently blocked by an outdoor dining setup. The tables and chairs are extending beyond the designated area and into the pedestrian path, making it difficult for people to walk by. This obstruction is not only an inconvenience but also a safety hazard, especially for those with disabilities or families with strollers. I kindly request that the city take action to ensure the sidewalk is cleared and accessible to all pedestrians.",web form,awaiting response,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.7288245809915,-74.00149371696034
Damaged Do Not Enter Street Sign on 101 Street (unique_key: 67076678),"I am writing to report a damaged street sign at 101 Street in Queens. The ""Do Not Enter"" sign is broken and hanging loosely, which could cause confusion for drivers and potentially lead to accidents. I am concerned about the safety of the community, especially during peak hours, and I believe it is essential to repair or replace the sign as soon as possible. I would appreciate it if someone could look into this matter and take the necessary actions to ensure the sign is restored to its proper condition.",text,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.76181255620047,-73.86829282639488
Residential Disposal Complaint at 863 East 169 Street (unique_key: 67085462),"I am reporting a disposal issue at 863 East 169 Street in the Bronx, where a residential disposal bin has not been used. The bin is currently located on the sidewalk and appears to be unused, potentially causing an eyesore and a nuisance to the community. As a concerned citizen, I believe it is essential to address this issue to maintain the cleanliness and aesthetic appeal of our neighborhood. I would appreciate it if the relevant authorities could investigate and take necessary actions to resolve this matter.",phone,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.829098657992446,-73.89697692220842
Rodent Sighting on Fulton Street (unique_key: 67078316),"I am writing to report a rodent sighting on Fulton Street in Brooklyn. Specifically, I saw a rat scurrying around the street/curbside area near 510 Fulton Street. The sighting occurred during daylight hours and I am concerned about the potential health risks associated with rodent infestations in the area. I would appreciate it if the city could investigate and take necessary measures to address this issue as soon as possible.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.68948256141962,-73.98243213717063
Deceased Cat on Sidewalk at East 131 Street (unique_key: 67083974),"I am reporting a dead cat found on the sidewalk at East 131 Street in Manhattan. The cat appears to have been there for some time and is causing a disturbance in the area. I am concerned about the potential health and safety implications for nearby residents, especially children and pets. I kindly request that the city sends someone to collect the carcass as soon as possible.",phone,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.80952516204141,-73.93788139358821
Residential Waste Disposal Issue on East 169 Street (unique_key: 67081053),"I am reporting a residential disposal complaint where waste has been left in front of a residence other than the one it belongs to, located at 865 East 169 Street in the Bronx. The trash is currently sitting on the sidewalk, creating an eyesore and potentially attracting pests. I am concerned that this may be a recurring issue and would like the city to address the matter as soon as possible. I would appreciate it if someone could investigate and ensure that the waste is properly disposed of and the responsible party is held accountable.",phone,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.829060170670566,-73.89690832625504
Smoking in Designated Smoke-Free Area at 1120 Rosedale Avenue (unique_key: 67075324),"I am concerned about the repeated instances of smoking and vaping in the residential building located at 1120 Rosedale Avenue in the Bronx. Despite being a designated smoke-free area, residents and visitors are frequently seen smoking and vaping in and around the building, posing a health risk to others. I kindly request that the authorities take necessary measures to enforce the smoke-free policy and ensure a healthier environment for all residents. I would appreciate it if this matter could be addressed promptly to prevent further incidents.",web form,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.82808419778328,-73.86836761149952
Dead Deer on Forest Hill Road (unique_key: 67075282),"I am reporting a dead deer on Forest Hill Road in Staten Island. The animal is located on the street and appears to have been there for some time. I am concerned about the potential health and safety risks it may pose to the community, as well as the unpleasant odor it is causing. I would appreciate it if someone could arrange for its removal as soon as possible.",phone,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.57083566003277,-74.16982709252079
Obstruction on Delafield Avenue (unique_key: 67082522),I am reporting a cone obstructing the street on Delafield Avenue in Staten Island. The cone is currently located on the street and is causing a hazard for drivers and pedestrians. I am concerned that it may cause an accident if not removed promptly. I would appreciate it if the city could send someone to remove the cone as soon as possible.,web form,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.62934319760249,-74.12292190659542
Dead Deer on Forest Hill Road (unique_key: 67081088),"I am reporting a deceased deer on Forest Hill Road in Staten Island. The animal appears to have been struck by a vehicle and is currently lying in the street, posing a potential hazard to drivers and pedestrians. I am concerned about the safety and sanitation of the area, and I kindly request that the city arrange for its removal as soon as possible. I would appreciate it if this matter could be addressed promptly to prevent any further issues.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.57083566003277,-74.16982709252079
Indoor Air Quality Issue in 3+ Family Apartment Building (unique_key: 67083741),"I am a concerned resident of 556 82nd Street in Brooklyn, and I am reaching out to report a persistent indoor air quality issue in our 3+ family apartment building. The air inside the building often smells musty and stale, and I have noticed that it exacerbates my allergies and respiratory issues. I have tried to identify the source of the problem, but it seems to be a building-wide issue, possibly related to the ventilation system or moisture accumulation. I would greatly appreciate it if someone could investigate this matter and take necessary steps to improve the indoor air quality in our building.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.62352991829137,-74.02345830844641
Indoor Air Quality Issue in 3+ Family Apartment Building (unique_key: 67076560),"I am a concerned resident of 556 82nd Street in Brooklyn, and I am reaching out to report a persistent indoor air quality issue in my building. The air inside my apartment and the common areas has been consistently musty and stale, and I have noticed a strong odor that seems to be coming from the ventilation system. I am worried about the potential health impacts of this issue, particularly for vulnerable residents such as the elderly and young children, and I would appreciate it if someone could investigate and address this problem as soon as possible. I would like to request an inspection and any necessary repairs to ensure a safe and healthy living environment for all residents.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.62352991829137,-74.02345830844641
Bus Stop Shelter Lighting Issue at 680 Fort Washington Avenue (unique_key: 67082319),"I am writing to report a lighting issue at the bus stop shelter located at 680 Fort Washington Avenue in Manhattan. The shelter's lighting is not functioning properly, making it difficult for passengers to wait safely at night. As a frequent user of this bus stop, I am concerned about the lack of visibility and potential safety risks it poses. I would appreciate it if this issue could be addressed as soon as possible to ensure the comfort and safety of all passengers.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.856777014996844,-73.93583457679512
Street Light Outage on St Nicholas Avenue (unique_key: 67082865),"I am reporting a street light outage on St Nicholas Avenue in Brooklyn. The light is completely out, causing the area to be poorly lit, especially at night. I am concerned about the safety of pedestrians and residents in the area, as the lack of lighting can increase the risk of accidents and crime. I would appreciate it if the city could send someone to repair or replace the street light as soon as possible.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.706501051305565,-73.9199217325155
Trash on Vacant Lot at 272 Heberton Avenue (unique_key: 67075291),"I am reporting a concern about a vacant lot located at 272 Heberton Avenue on Staten Island. The lot is filled with trash and debris, creating an eyesore and potential health hazard for the community. As a nearby resident, I am worried about the impact this is having on our neighborhood's appearance and property values. I kindly request that the city takes immediate action to clean up the lot and address this issue.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.63404450812861,-74.13324204166062
"Dirty Condition Report at 8904 Avenue M, Brooklyn (unique_key: 67075286)","I am reporting a dirty condition at 8904 Avenue M in Brooklyn, where there is a significant amount of trash accumulated in the yard. The trash is not only an eyesore, but it also poses a health risk to the community. I am concerned that if this issue is not addressed, it may attract pests and create unpleasant odors. I would appreciate it if the city could send someone to clean up the trash and restore the yard to a safe and sanitary condition.",phone,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.63326790351365,-73.8993040433181
"Rodent Sighting at 228 Sackett Street, Brooklyn (unique_key: 67079684)","I am writing to report a rat sighting at my residential building, located at 228 Sackett Street in Brooklyn. On multiple occasions, I have seen rats scurrying around the exterior and interior of the building, particularly in the basement and near the trash areas. I am concerned about the potential health risks and property damage that these rodents may cause, and I would appreciate it if someone could investigate and take necessary actions to address this issue. I believe that the building's management may need to take measures to seal any entry points and improve waste management to prevent further infestation.",phone,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.683944947467026,-73.99871641219974
Street Light Outage in Brooklyn (unique_key: 67074190),"I am reporting a street light outage in my neighborhood in Brooklyn. The light has been out for a few days, and it's causing concerns for safety and visibility, especially at night. The darkness is making it difficult for pedestrians and drivers to navigate the area, and I'm worried it may attract crime. I would appreciate it if the city could send someone to repair or replace the street light as soon as possible.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.66968334617458,-73.88236050527304
Damaged Sidewalk at 49-67 47th Avenue (unique_key: 67076670),"I am writing to report a hazardous condition on the sidewalk in front of 49-67 47th Avenue in Queens. The sidewalk is broken and uneven, posing a tripping hazard to pedestrians, especially seniors and young children. I am concerned that someone may get injured if this issue is not addressed promptly. I would appreciate it if the city could send someone to repair or replace the damaged sidewalk as soon as possible.",text,awaiting response,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.74076348004444,-73.9155248999684
Damaged Sidewalk at 49-67 47th Avenue (unique_key: 67080944),"I am writing to report a hazardous condition on the sidewalk in front of 49-67 47th Avenue in Queens. The sidewalk is broken and uneven, posing a tripping hazard to pedestrians, especially seniors and young children. I am concerned that someone may get injured if this issue is not addressed promptly. I would appreciate it if the city could send someone to repair or replace the damaged sidewalk as soon as possible.",text,awaiting response,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.74076348004444,-73.9155248999684
Chemical Odors in Commercial Building at 189 East 93rd Street (unique_key: 67083740),"I am writing to report a strong chemical odor in the commercial building located at 189 East 93rd Street in Manhattan. The smell is noticeable throughout the building and appears to be some type of vapor or gas. I am concerned about the potential health risks to occupants and visitors, and I would like the city to investigate and take necessary actions to resolve the issue. The odor has been persistent for several days, and I would appreciate it if someone could look into this matter as soon as possible.",web form,awaiting response,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.78340992809876,-73.95106774533049
Request for Lead Kit at Residential Address (unique_key: 67075335),"I am a concerned homeowner at 585 3rd Avenue in Manhattan, and I am requesting a lead kit to test for potential lead hazards in my home. As a resident of this property, I want to ensure that my living environment is safe and free from lead contamination. I would appreciate it if a lead kit could be provided to me as soon as possible so I can take the necessary steps to protect my health and the health of my family. I am looking forward to receiving the kit and following the instructions to collect and submit the samples for testing.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.74847179512637,-73.97611874345195
"Report of Cloudy Water at 30 Cooper Street, Manhattan (unique_key: 67082621)","I am writing to report a concern about the water quality at my residence, 30 Cooper Street in Manhattan. The water appears cloudy or milky, and I am unsure of the cause. I have noticed this issue consistently over the past few days, and I am worried about the potential health implications. I would appreciate it if someone could investigate this matter and take necessary actions to resolve the issue.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.86757591236837,-73.92431227328683
Illegal Tree Damage from Bicycle at East 50 Street (unique_key: 67083736),"I am reporting a case of illegal tree damage at 245 East 50 Street in Manhattan, where a bicycle has been chained to a tree, causing harm to the tree's trunk. The bicycle appears to have been locked to the tree for an extended period, and I am concerned about the potential long-term damage to the tree's health. As a resident of this neighborhood, I am worried about the impact this could have on our community's green spaces and would appreciate it if someone could address this issue promptly. I would like the city to take action to remove the bicycle and prevent further damage to the tree.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.755389796279935,-73.96971309709203
Illegal Dumping on Chevy Chase Street Sidewalk (unique_key: 67081024),"I am reporting an incident of illegal dumping on the sidewalk in front of 87-25 Chevy Chase Street in Queens. There is a large amount of trash and debris that has been discarded on the sidewalk, creating an eyesore and a potential hazard for pedestrians. I am concerned that if this is not addressed, it will attract pests and create unsanitary conditions. I kindly request that the city remove this illegal dumping as soon as possible to maintain the cleanliness and safety of our neighborhood.",phone,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.71811904287483,-73.77604313493596
Excessive Noise from Construction Equipment at 60 Wall Street (unique_key: 67081170),I am writing to report excessive noise coming from construction equipment at 60 Wall Street in Manhattan. The constant beeping and rumbling of the machines is disrupting the peace and making it difficult for me to focus at work. The noise has been ongoing for several hours and I am concerned that it may be exceeding acceptable levels. I would appreciate it if someone could investigate this matter and take necessary action to mitigate the disturbance.,web form,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.70591375642571,-74.00860936465871
Damaged Curb on East 86 Street (unique_key: 67078052),"I am reporting a broken curb on the sidewalk in front of 132 East 86 Street in Manhattan. The curb is cracked and uneven, posing a tripping hazard for pedestrians, especially seniors and young children. I am concerned that if this issue is not addressed, it may lead to accidents or injuries. I would appreciate it if the city could repair or replace the damaged curb as soon as possible to ensure the safety of our community.",text,awaiting response,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.77961315742167,-73.95588007365475
Illegal Dumping on Sidewalk at 975 Summit Avenue (unique_key: 67075237),"I am reporting an instance of illegal dumping on the sidewalk in front of 975 Summit Avenue in the Bronx. There is a large amount of trash and debris that has been discarded on the sidewalk, creating an eyesore and a potential hazard for pedestrians. I kindly request that the city sends someone to remove this trash as soon as possible to maintain the cleanliness and safety of our neighborhood. The dumping is clearly visible from the street and is affecting the overall appearance of our community.",text,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.832636988212734,-73.93053496209842
Dirty Condition Report on Summit Avenue Sidewalk (unique_key: 67078225),"I am writing to report a dirty condition on the sidewalk in front of 950 Summit Avenue in the Bronx. The area is littered with trash, creating an unsanitary and unpleasant environment for pedestrians. I am concerned that if this issue is not addressed, it may attract pests and contribute to further deterioration of the area. I would appreciate it if the city could send someone to clean up the trash as soon as possible.",text,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.83220071380918,-73.93075946196511
Defective Fire Hydrant on Pennsylvania Avenue (unique_key: 67073938),"I am reporting a defective fire hydrant located at 1121 Pennsylvania Avenue in Brooklyn. The hydrant appears to be leaking water continuously, which is not only wasting water but also creating a slippery and potentially hazardous condition on the sidewalk. I am concerned about the safety of pedestrians, especially during icy weather, and would appreciate it if someone could inspect and repair the hydrant as soon as possible. I would like to request that the Department of Environmental Protection investigate and take necessary action to fix the issue.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.653268372000255,-73.88665289807177
Smoking in Smoke-Free Area at 422 Blake Avenue (unique_key: 67082574),"I am writing to report that smoking or vaping is being allowed in a smoke-free area at 422 Blake Avenue in Brooklyn. As a concerned citizen, I have witnessed individuals smoking in the residential building's common areas, which is not only against the rules but also poses a health risk to others. I am worried about the potential health impacts on residents, especially children and seniors, and would like the city to take action to enforce the smoke-free policy in this building. I would appreciate it if someone could look into this matter and take necessary steps to address the issue.",phone,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.66647277482409,-73.9039291357008
"Food Poisoning Complaint at 1174 Fulton Street, Brooklyn (unique_key: 67078036)","I am writing to report a case of food poisoning that I believe I contracted from eating at a restaurant located at 1174 Fulton Street in Brooklyn. After consuming food from this establishment, I experienced severe stomach cramps, nausea, and diarrhea, which I suspect are symptoms of food poisoning. I am concerned about the safety and handling of food at this location and would like the issue to be investigated to prevent others from getting sick. I would appreciate it if someone could look into this matter as soon as possible.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.68075454773498,-73.9539480804602
Damaged Sidewalk and Tree Roots on Hook Creek Boulevard (unique_key: 67082317),"I am writing to report a hazardous condition on Hook Creek Boulevard in Queens, where the tree roots have severely damaged the sidewalk, creating uneven and raised sections that pose a tripping hazard to pedestrians. The trees in this area appear to be part of the city's Trees and Sidewalks Program, and I believe the roots have grown out of control, causing the damage. I am concerned about the safety of residents and visitors who use this sidewalk daily, and I kindly request that the city inspect and repair the damage as soon as possible. I would appreciate it if the city could also consider pruning or removing the trees if necessary to prevent further damage.",phone,awaiting response,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.67136832334946,-73.72813574182078
Dead/Dying Tree on East 8 Street in Brooklyn (unique_key: 67079448),"I am concerned about a tree located on East 8 Street in Brooklyn that appears to be dead or dying. The tree was planted more than two years ago, but it has not thrived and is now showing signs of decline. I am worried that if the tree is not removed or pruned, it could pose a hazard to pedestrians and nearby property. I would appreciate it if the city could send someone to assess the tree's condition and take necessary action to ensure public safety.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.603514395907524,-73.96404161653089
"Dirty Water Complaint at 25-62 43 Street, Queens (unique_key: 67082609)","I am writing to report a concern about the water quality at my residence, located at 25-62 43 Street in Queens. The water coming out of my faucets is dirty and discolored, which is not only unpleasant but also a potential health risk. I have noticed this issue for the past few days and it seems to be persistent, so I would appreciate it if someone could investigate and resolve this problem as soon as possible. I would like to request that the water system be checked and cleaned to ensure the water is safe for consumption and use.",phone,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.76641142836947,-73.9096440876374
Excessive Helicopter Noise Above 8 Avenue in Manhattan (unique_key: 67085245),"I am writing to report a persistent and disturbing helicopter noise issue above my location at 8 Avenue in Manhattan. The constant hovering and flying of helicopters is causing a significant disturbance to my daily life, making it difficult for me to focus and relax in my own home. The noise is particularly loud and frequent during evening and late-night hours, and I am concerned about the potential impact on my quality of life and the overall noise pollution in the area. I kindly request that the relevant authorities take necessary actions to address this issue and mitigate the excessive helicopter noise.",web form,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.75979022599973,-73.98792558913458
Unauthorized Food Vendor on 8th Avenue in Brooklyn (unique_key: 67075279),"I am reporting an unauthorized food vendor operating on the street at 6102 8th Avenue in Brooklyn. The vendor is selling food without any visible permits or licenses, and I am concerned about the potential health and safety risks to the community. This vendor has been operating in the area for several days, and I have not seen any city officials inspecting or monitoring their activities. I would appreciate it if someone could look into this matter and take necessary enforcement actions to ensure public safety.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.63489528697644,-74.0101926990687
Missing No Parking Sign on Woehrle Avenue (unique_key: 67080961),"I am writing to report that the ""No Parking, Standing, Stopping"" sign is missing from the street sign post on Woehrle Avenue. As a resident of this neighborhood, I am concerned that the absence of this sign may lead to parking chaos and potentially cause safety issues for pedestrians and drivers alike. The sign was previously located on the street outside 143 Woehrle Avenue, and its removal has left a gap in traffic regulation. I kindly request that a replacement sign be installed as soon as possible to maintain order and safety in our community.",text,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.55353560537211,-74.1803052905959
Overturned Hydrant on Flatbush Avenue (unique_key: 67075370),"I am reporting a knocked-over fire hydrant located at 2827 Flatbush Avenue in Brooklyn. The hydrant appears to have been recently damaged and is currently lying on the sidewalk, causing a potential hazard to pedestrians and vehicles. I am concerned about the safety implications and potential water waste if the hydrant is leaking. I would appreciate it if someone could investigate and repair or replace the hydrant as soon as possible.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.60267043974939,-73.91473090116374
Illicit Sales to Minors at Cannabis Retailer on Church Avenue (unique_key: 67085456),"I am writing to express concern about a cannabis retailer located at 913 Church Avenue in Brooklyn, where I have witnessed sales being made to minors under the age of 21. As a concerned citizen, I believe it is imperative that this establishment is held accountable for adhering to the legal age restrictions. I have seen individuals who appear to be underage entering the store and making purchases, which raises serious concerns about the store's compliance with regulations. I urge the authorities to investigate this matter and take necessary actions to prevent the sale of cannabis to minors.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.646436581464194,-73.97072470413893
Smoking in Smoke-Free Residential Building (unique_key: 67082577),"I am writing to report that smoking or vaping is being allowed in a smoke-free area at 700 West 175 Street in Manhattan. As a resident of this building, I am concerned about the health risks and discomfort caused by secondhand smoke. Despite the smoke-free policy, I have witnessed individuals smoking or vaping in the building's common areas, and I kindly request that the city takes action to enforce the smoke-free regulations and ensure a healthy environment for all residents. I would appreciate it if someone could look into this matter and address the issue as soon as possible.",web form,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.846233418145154,-73.93869649383683
Overturned Fire Hydrant on Flatbush Avenue (unique_key: 67076877),"I am reporting a fire hydrant that has been knocked over and is currently lying on the sidewalk at 2747 Flatbush Avenue in Brooklyn. The hydrant appears to have been damaged and is no longer upright, which may cause issues with water pressure and access for firefighters in case of an emergency. I am concerned about the potential safety hazard this poses to the community, and I would appreciate it if someone could send a crew to repair or replace the hydrant as soon as possible. Additionally, I have attached a photo of the overturned hydrant for reference.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.60424448996903,-73.91647551219867
Illegal Dumping on Grand Street in Brooklyn (unique_key: 67078231),"I am reporting an incident of illegal dumping at 811 Grand Street in Brooklyn. There is a large amount of trash and debris that has been discarded on the street, creating an eyesore and potential health hazard for the community. I kindly request that the city arrange for the removal of this waste as soon as possible to maintain the cleanliness and safety of our neighborhood. The dumping is currently located on the street, and I would appreciate it if someone could attend to this matter promptly.",text,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.71192923821354,-73.9410672374059
Request for Lead Kit at Residential Address in Queens (unique_key: 67084038),"I am concerned about potential lead exposure in my home and would like to request a lead kit to test for lead levels. I reside at 116-44 126 Street in Queens, zip code 11420, and am worried about the health and safety of my family. I believe it is essential to determine if there are any lead hazards present in my residence, and I would greatly appreciate it if a lead kit could be provided to me as soon as possible. I am looking forward to receiving the necessary materials to ensure my home is lead-safe.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.676130994573136,-73.81218176995459
Overturned Fire Hydrant on Foster Avenue (unique_key: 67084057),"I am reporting a knocked over fire hydrant located at 9018 Foster Avenue in Brooklyn. The hydrant appears to have been recently damaged and is currently lying on its side, which may cause water to leak or create a hazard for pedestrians and vehicles. I am concerned about the potential disruption to the water system and the safety of the community. I would appreciate it if someone could investigate and repair or replace the hydrant as soon as possible.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.645008654762755,-73.91084629420509
